ride_id,driver_id,pickup_location,dropoff_location,distance_miles,fare_amount,ride_date,ride_type,rating
1001,201,Downtown,Midtown,3.2,12.50,2025-01-05,standard,4.5
1002,202,Airport,Suburbs,18.5,45.00,2025-01-06,premium,5.0
1003,203,Uptown,Downtown,5.8,22.00,2025-01-06,standard,3.5
1004,201,Midtown,Airport,16.2,40.00,2025-01-07,premium,4.0
1005,204,Suburbs,Uptown,10.4,30.00,2025-01-08,pool,
1006,205,Downtown,Lakeside,2.1,8.75,2025-01-09,standard,4.8
1007,202,Lakeside,Midtown,4.5,15.00,2025-01-10,standard,
1008,206,Uptown,Airport,14.0,38.50,2025-01-12,premium,4.2
1009,203,Midtown,Suburbs,7.3,25.00,2025-01-14,pool,3.0
1010,207,Airport,Downtown,17.8,42.00,2025-01-15,premium,4.7
1011,204,Lakeside,Uptown,6.0,20.00,2025-01-17,standard,4.1
1012,201,Suburbs,Midtown,9.5,28.00,2025-01-19,pool,3.8
1013,208,Downtown,Airport,15.3,39.00,2025-01-20,premium,
1014,205,Midtown,Lakeside,3.8,14.00,2025-01-22,standard,4.6
1015,206,Uptown,Suburbs,8.7,26.50,2025-01-24,pool,3.2
1016,202,Airport,Lakeside,12.0,35.00,2025-02-01,premium,4.9
1017,207,Downtown,Uptown,4.2,16.00,2025-02-03,standard,4.0
1018,203,Suburbs,Airport,20.1,48.00,2025-02-05,premium,4.4
1019,208,Lakeside,Downtown,2.8,10.50,2025-02-07,standard,
1020,204,Midtown,Uptown,5.5,19.00,2025-02-10,pool,3.6